ts_utc,ts_et,open,high,low,close,volume,is_zero_vol,is_rth_bar
2026-03-23T08:00:00Z,2026-03-23 04:00 ET,125.8,125.99,124.24,125.48,0,True,False
2026-03-23T08:05:00Z,2026-03-23 04:05 ET,125.5,125.5,124.97,125.14,0,True,False
2026-03-23T08:10:00Z,2026-03-23 04:10 ET,125.11,125.11,124.41,124.96,0,True,False
2026-03-23T08:15:00Z,2026-03-23 04:15 ET,125.0,125.18,124.74,124.9,0,True,False
2026-03-23T08:20:00Z,2026-03-23 04:20 ET,124.91,125.0,124.75,124.96,0,True,False
2026-03-23T08:25:00Z,2026-03-23 04:25 ET,124.96,125.15,124.66,125.1,0,True,False
2026-03-23T08:30:00Z,2026-03-23 04:30 ET,124.86,124.92,124.19,124.23,0,True,False
2026-03-23T08:35:00Z,2026-03-23 04:35 ET,124.2,124.63,124.1,124.18,0,True,False
2026-03-23T08:40:00Z,2026-03-23 04:40 ET,124.2,124.34,123.9,124.24,0,True,False
2026-03-23T08:45:00Z,2026-03-23 04:45 ET,124.23,124.71,124.11,124.14,0,True,False
2026-03-23T08:50:00Z,2026-03-23 04:50 ET,124.32,124.35,123.79,124.04,0,True,False
2026-03-23T08:55:00Z,2026-03-23 04:55 ET,124.1,124.33,123.78,123.78,0,True,False
2026-03-23T09:00:00Z,2026-03-23 05:00 ET,123.76,123.85,123.55,123.6,0,True,False
2026-03-23T09:05:00Z,2026-03-23 05:05 ET,123.63,123.65,123.25,123.25,0,True,False
2026-03-23T09:10:00Z,2026-03-23 05:10 ET,123.25,123.25,122.45,122.58,0,True,False
2026-03-23T09:15:00Z,2026-03-23 05:15 ET,122.56,122.7,122.32,122.32,0,True,False
2026-03-23T09:20:00Z,2026-03-23 05:20 ET,122.34,122.9,122.24,122.9,0,True,False
2026-03-23T09:25:00Z,2026-03-23 05:25 ET,122.89,123.31,122.88,123.21,0,True,False
2026-03-23T09:30:00Z,2026-03-23 05:30 ET,123.34,123.62,123.1,123.5,0,True,False
2026-03-23T09:35:00Z,2026-03-23 05:35 ET,123.54,123.8,123.54,123.71,0,True,False
2026-03-23T09:40:00Z,2026-03-23 05:40 ET,123.71,123.79,123.45,123.57,0,True,False
2026-03-23T09:45:00Z,2026-03-23 05:45 ET,123.56,123.6,123.2,123.47,0,True,False
2026-03-23T09:50:00Z,2026-03-23 05:50 ET,123.46,123.51,123.2,123.34,0,True,False
2026-03-23T09:55:00Z,2026-03-23 05:55 ET,123.42,123.52,123.17,123.2,0,True,False
2026-03-23T10:00:00Z,2026-03-23 06:00 ET,123.13,123.54,123.07,123.45,0,True,False
2026-03-23T10:05:00Z,2026-03-23 06:05 ET,123.51,123.86,123.43,123.51,0,True,False
2026-03-23T10:10:00Z,2026-03-23 06:10 ET,123.48,123.55,123.26,123.34,0,True,False
2026-03-23T10:15:00Z,2026-03-23 06:15 ET,123.3,123.56,123.25,123.26,0,True,False
