event_id,event_label,ts_utc,ts_et,minute_offset,open,high,low,close,volume,is_zero_vol,is_rth_bar,anchor_price,cum_pct_signed,cum_pct_abs
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T17:05:00Z,2026-03-04 12:05 ET,-180,90.24,90.74,90.22,90.57,372625,False,True,90.75,-0.1983,0.1983
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T17:10:00Z,2026-03-04 12:10 ET,-175,90.58,90.69,90.49,90.61,148757,False,True,90.75,-0.1543,0.1543
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T17:15:00Z,2026-03-04 12:15 ET,-170,90.61,90.84,90.59,90.79,255018,False,True,90.75,0.0386,0.0386
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T17:20:00Z,2026-03-04 12:20 ET,-165,90.79,91.14,90.77,91.11,366491,False,True,90.75,0.3967,0.3967
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T17:25:00Z,2026-03-04 12:25 ET,-160,91.11,91.45,90.79,91.1,613571,False,True,90.75,0.3857,0.3857
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T17:30:00Z,2026-03-04 12:30 ET,-155,91.12,91.28,91.06,91.16,386608,False,True,90.75,0.4518,0.4518
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T17:35:00Z,2026-03-04 12:35 ET,-150,91.16,91.4,91.15,91.25,278914,False,True,90.75,0.5565,0.5565
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T17:40:00Z,2026-03-04 12:40 ET,-145,91.25,91.33,91.06,91.21,230521,False,True,90.75,0.5069,0.5069
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T17:45:00Z,2026-03-04 12:45 ET,-140,91.19,91.22,90.75,91.13,446684,False,True,90.75,0.4187,0.4187
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T17:50:00Z,2026-03-04 12:50 ET,-135,91.13,91.29,91.05,91.28,224537,False,True,90.75,0.584,0.584
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T17:55:00Z,2026-03-04 12:55 ET,-130,91.28,91.36,91.18,91.33,220866,False,True,90.75,0.6391,0.6391
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T18:00:00Z,2026-03-04 13:00 ET,-125,91.34,91.37,90.92,91.25,309803,False,True,90.75,0.551,0.551
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T18:05:00Z,2026-03-04 13:05 ET,-120,91.26,91.28,90.92,91.05,399215,False,True,90.75,0.3306,0.3306
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T18:10:00Z,2026-03-04 13:10 ET,-115,91.03,91.22,91.0,91.18,169293,False,True,90.75,0.4738,0.4738
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T18:15:00Z,2026-03-04 13:15 ET,-110,91.17,91.29,91.04,91.05,163306,False,True,90.75,0.3306,0.3306
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T18:20:00Z,2026-03-04 13:20 ET,-105,91.05,91.17,90.89,90.97,238146,False,True,90.75,0.2424,0.2424
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T18:25:00Z,2026-03-04 13:25 ET,-100,90.97,91.17,90.87,91.03,276819,False,True,90.75,0.3085,0.3085
mar4_venezuela_oil,"Mar 4: Venezuela oil (""normal signal"")",2026-03-04T18:30:00Z,2026-03-04 13:30 ET,-95,91.03,91.25,90.85,91.15,227332,False,True,90.75,0.4408,0.4408
