minute_offset,median,p25,p75,p10,p90,n_bursts
-60,0.1506,-0.2916,0.3874,-0.7077,1.5735,6
-55,0.273,-0.0117,0.6534,-0.3231,1.0476,6
-50,0.2242,0.1534,0.4834,-0.1064,0.8669,7
-45,0.0358,-0.1295,0.3187,-0.3418,0.8137,6
-40,-0.1637,-0.5283,0.1049,-0.7054,0.886,6
-35,-0.0427,-0.3716,0.1206,-0.4384,0.824,6
-30,-0.0513,-0.2255,0.262,-0.3802,0.7872,7
-25,-0.0134,-0.3595,0.3118,-0.7985,0.4064,6
-20,0.1154,-0.0641,0.1986,-0.4502,0.3321,7
-15,0.0044,-0.0847,0.1532,-0.2826,0.3336,7
-10,-0.1707,-0.4394,0.1694,-0.7729,0.3173,7
-5,-0.1813,-0.2556,-0.013,-0.6916,0.0342,7
0,0.0,0.0,0.0,0.0,0.0,15
5,-0.1566,-0.2551,0.0774,-0.3075,0.2881,15
10,-0.0783,-0.1471,0.174,-0.1856,0.32,14
15,-0.2246,-0.3695,0.1906,-0.4742,0.6861,14
20,-0.1981,-0.3843,0.1697,-0.5294,0.2824,14
25,-0.0989,-0.2006,0.2134,-0.5603,0.3326,14
30,-0.1342,-0.486,0.0029,-0.8357,0.0536,14
35,-0.1341,-0.895,0.2038,-2.4554,0.2674,14
40,-0.1907,-0.9057,0.4216,-2.4416,0.5883,14
45,-0.1103,-1.035,0.3001,-2.1049,0.361,14
50,-0.0509,-1.1538,0.2407,-2.4197,0.248,14
55,0.0692,-1.0749,0.2204,-2.4334,0.2349,14
60,-0.1158,-1.0965,0.2629,-2.3964,0.509,14
