burst_id,post_id,is_triggered_event,ts_utc,ts_et,minute_offset_in_burst,text,is_reblog,favourites_count,reblogs_count,replies_count,topic_energy_oil,topic_iran_military,topic_market_economy,topic_tariff_trade,topic_china,topic_fed_rates,topic_djt_media,topic_crypto
1,115996876595468758,True,2026-02-01T18:51:11.880000+00:00,2026-02-01T13:51:11.880000-05:00,0.0,"RT @realDonaldTrumpI am hearing that Bluffton City Councilman Blake Fiechter, a True America First Patriot, is considering a primary challenge against ""RINO"" State Senator Travis Holdman, in Indiana's 19th Senate District who, for whatever reason, voted against Redistricting in Indiana, in a District that I won by 39 points, which puts the United States Congress in jeopardy. Holdman and his RINO friends made Indiana, a State I love and have been very good to, the only State in the Country that essentially said they don't care about what happens in the United States Congress. We could have easily picked up two seats in Indiana, so Holdman, an America Last politician, put our Majority in the House of Representatives at risk, thereby putting our Country in a very dangerous position in losing some of the magnificent gains that we have made over the last year, since I assumed the Office of President. On the other hand, Blake Fiechter, a very successful Real Estate Broker, Proud Husband, Loving Father to three girls, and a Highly Respected Councilman in the wonderful City of Bluffton, has dedicated his life to serving the Community which he loves so much. As your next State Senator, Blake would fight tirelessly to Protect ""Hoosier"" Values, Promote our Amazing Farmers and Ranchers, Grow our Economy, Cut Taxes and Regulations, Advance MADE IN THE U.S.A., Promote American Energy DOMINANCE, Keep our Border SECURE, Support our Brave Military, Veterans, and Law Enforcement, Ensure LAW AND ORDER, Safeguard our Elections, and Protect our always under siege Second Amendment.  Should he decide to enter this Race, and hopefully he will, Blake Fiechter has my Complete and Total Endorsement against RINO Travis Holdman. RUN, BLAKE, RUN!",False,0,0,0,True,True,True,False,False,False,False,False
1,115996877078140560,True,2026-02-01T18:51:19.248000+00:00,2026-02-01T13:51:19.248000-05:00,0.12,"RT @realDonaldTrumpIt is my Great Honor to endorse America First Patriot Tracey Powell, a fantastic Candidate for Indiana's 21st State Senate District (which I won by 24 points!). Tracey is running against a pathetic RINO incumbent named Jim Buck, who, for whatever reason, voted against Redistricting in Indiana, which puts the United States Congress in jeopardy. Buck and his RINO friends made Indiana, a State I love and have been very good to, the only State in the Country that essentially said they don't care if Democrats steal Republican House seats to take over the United States Congress. We could have easily picked up two seats in Indiana, helping Democrat seat theft in Blue States, but instead, Buck, an America Last politician, would rather give away our Majority in the House of Representatives, thereby putting our Country in a very dangerous position that could cost us some of the magnificent gains that we have made over the last year, since I assumed the Office of President. Tracey Powell, on the other hand, is a successful Businessman, Chiropractor, Farmer, and Highly Respected Tipton County Commissioner, who has dedicated his life to serving his Community. As your next State Senator, Tracey will fight tirelessly to Protect ""Hoosier"" Values, Grow the Economy, Cut Taxes and Regulations, Promote MADE IN THE U.S.A., Champion our Amazing Farmers and Agriculture, Unleash American Energy DOMINANCE, Keep our Border SECURE, Ensure LAW AND ORDER, Support our Military, Veterans, and Law Enforcement, Advance Election Integrity, Defend our always under siege Second Amendment.  Tracey Powell has my Complete and Total Endorsement to be the next State Senator from Indiana's 21st Senate District. Unlike incumbent Jim Buck, a ""RINO"" who failed the wonderful people of Indiana so badly, TRACEY POWELL IS A WINNER WHO WILL NOT LET YOU DOWN!",False,0,0,0,True,True,True,False,False,True,False,False
1,115996877735403531,True,2026-02-01T18:51:29.276000+00:00,2026-02-01T13:51:29.276000-05:00,0.29,"RT @realDonaldTrumpIt is my Great Honor to endorse MAGA Warrior and Fountain County GOP Chair, Paula Copenhaver, a terrific Candidate for Indiana's 23rd State Senate District (which I won by 26 points!). Paula is running against an incompetent and ineffective RINO incumbent named Spencer Deery who, for whatever reason, betrayed his voters by voting against Redistricting in Indiana. Deery and his RINO friends made Indiana, a State I love and have been very good to, the only State in the Country that essentially said they don't care if Democrats and Radical Liberal Judges keep conspiring to steal seats in the United States Congress from Republicans. We could have easily picked up two seats in Indiana, but Deery, an America Last politician, would rather side with Far Left Democrats who will do anything and everything in their power to reverse the incredible progress we have made for the American people over the last year since I reassumed the Office of President. While ""RINO"" Spencer Deery prefers Democrats, Paula Copenhaver has helped REAL Republicans get elected across her Community, As your next State Senator, Paula will work hard to Protect ""Hoosier"" Values, Advocate for the Working Men and Women of Indiana, Grow the Economy, Cut Taxes and Regulations, Promote American Manufacturing, Advance MADE IN THE U.S.A., Unleash American Energy DOMINANCE, Keep our Border SECURE, Ensure LAW AND ORDER, Support our Brave Military, Veterans, and Law Enforcement, Safeguard our Elections, and Protect our always under siege Second Amendment.  Paula Copenhaver has my Complete and Total Endorsement to be the next State Senator from Indiana's 23rd Senate District. Unlike incumbent Spencer Deery, a ""RINO"" who has become a favorite politician of the Far Left, PAULA COPENHAVER IS A WINNER WHO WILL NEVER LET YOU DOWN!",False,0,0,0,True,True,True,False,False,False,False,False
1,115996878303059833,True,2026-02-01T18:51:37.935000+00:00,2026-02-01T13:51:37.935000-05:00,0.43,"RT @realDonaldTrumpVigo County Commissioner Brenda Wilson, a Proven America First Patriot, is running against ""No Goode"" Greg Goode (BAD FOR THE U.S.A.!) in the Republican Primary for Indiana's 38th Senate District, which I won by 28 points! ""No Goode"" is an incompetent and ineffective RINO incumbent who, for whatever reason, voted against Redistricting in Indiana, which has made him a hero to Hakeem Jeffries, Ilhan Omar, and every other Radical Left Member of the U.S. House of Representatives. ""No Goode"" and his RINO friends made Indiana, a State I have tremendous love for, the only State in the Country that essentially said they don't care about what happens to the United States Congress, and therefore to America's future. We could have easily picked up two seats in Indiana, but No Goode, an America Last politician, threw in with the Democrats, thereby putting our Country in a very dangerous position, and risking the reversal of so much of the incredible progress we have made over the last year for our Country and our people. Brenda Wilson, on the other hand, is a Successful Family Farmer, and Highly Respected Vigo County Commissioner, who will be a strong and effective Voice for our amazing Farmers and Indiana Agriculture. As your next State Senator, Brenda will fight tirelessly to Protect ""Hoosier"" Values, Champion Small Businesses, Promote MADE IN THE U.S.A., Grow our Economy, Cut Taxes and Regulations, Advance American Energy DOMINANCE, Keep our Border SECURE, Support our incredible Military, Veterans, and Law Enforcement, Advance Election Integrity, and Protect our always under siege Second Amendment. Brenda Wilson has my Complete and Total Endorsement, and, unlike ""No Goode"" — BRENDA WILL NOT LET YOU DOWN!",False,0,0,0,True,True,True,False,False,False,False,False
1,115996878882880603,True,2026-02-01T18:51:46.783000+00:00,2026-02-01T13:51:46.783000-05:00,0.58,"RT @realDonaldTrumpIt is my Great Honor to endorse America First Patriot, Jeff Ellington, a terrific Candidate for Indiana's 39th State Senate District (which I won by a whopping 55 points!). Jeff will be a fantastic replacement for RINO Eric Bassler, who may not even run again because Republicans are so angry with him over his betrayal he committed when he, for whatever reason, voted against Redistricting in Indiana, which essentially made him a partner to the Radical Left Democrats in their quest to take control of the United States House of Representatives, and reverse the great progress we have made in the last year. Bassler and his RINO friends made Indiana, a State I love that is full of Patriots who love America, the only State in the Nation that would rather turn over our Country to Democrats than fight back against their corruption, and finish the job we started over 10 years ago. We could have easily picked up two seats in Indiana, but Bassler, an America Last politician, was played for a fool by the Democrats who want to destroy our Country. Now, because Bassler looks to be getting ""run out of town"" by his Voters, Indiana's Chief RINO Rod Bray has recruited a new ""pawn"" in his game named Kristi Risk to run for this seat.  She, like Bassler and Bray, was nowhere to be found for Republicans during Redistricting, which means she will never be there for you when the going gets tough. She said there were ""more important things"" than keeping the House Majority, and protecting the progress we have made over the last year to, MAKE AMERICA GREAT AGAIN. No smart, reliable Republican would ever say such a thing because they would never even think it. For that reason, and more, she cannot be trusted any more than the Failed and Weak ""Senator"" Bassler. Jeff Ellington, on the other hand, is a Successful Businessman, Retired Firefighter, Horse Farmer, Greene County GOP Chairman, and former State Representative, who has dedicated his life to serving his Community. As your next State Senator, Jeff will work tirelessly to Protect ""Hoosier"" Values, Champion our Amazing Farmers and Ranchers, Grow our Economy, Cut Taxes and Regulations, Promote MADE IN THE U.S.A., Advance American Energy DOMINANCE, Support our Brave Military, Veterans, and Law Enforcement, Safeguard our Elections, and Protect our always under siege Second Amendment.  Jeff Ellington has my Complete and Total Endorsement to be the next State Senator from Indiana's 39th Senate District. Unlike Eric Bassler or Kristi Risk, JEFF ELLINGTON WILL NEVER LET YOU DOWN!",False,0,0,0,True,True,True,True,False,False,False,False
1,115996879370262562,True,2026-02-01T18:51:54.220000+00:00,2026-02-01T13:51:54.220000-05:00,0.71,"RT @realDonaldTrumpIt is my Great Honor to endorse State Representative Michelle Davis, a REAL Republican running for Indiana's 41st State Senate District (which I won by 33 points!), against RINO incumbent Greg Walker! Michelle will be a fantastic replacement for Walker who, for whatever reason, voted against Redistricting in Indiana, which puts the United States Congress in jeopardy. Walker and his RINO friends made Indiana, a State I love and have been very good to, the only State in the Country that essentially said they don't care about what happens in the United States Congress. We could have easily picked up two seats in Indiana, so Walker, an America Last politician, put our Majority in the House of Representatives at risk, thereby putting our Country in a very dangerous position in losing some of the magnificent gains that we have made over the last year, since I assumed the Office of President. State Representative Michelle Davis, on the other hand, strongly voted WITH Republicans to pass Redistricting in the State House, unlike ""RINO"" Greg Walker, who voted with the Democrats in the State Senate to stop it. As your next State Senator, Michelle will fight tirelessly to Protect ""Hoosier"" Values, Advocate for the Working Men and Women of Indiana, Grow our Economy, Cut Taxes and Regulations, Promote American Manufacturing, Advance MADE IN THE U.S.A., Unleash American Energy DOMINANCE, Keep our Border SECURE, Support our Military, Veterans, and Law Enforcement, Advance Election Integrity, and Defend our always under siege Second Amendment.  Michelle Davis has my Complete and Total Endorsement to be the next State Senator from Indiana's 41st Senate District. Unlike incumbent Greg Walker, a ""RINO"" LOSER who has failed the fantastic people of Indiana so badly, MICHELLE DAVIS IS A WINNER WHO WILL NOT LET YOU DOWN!",False,0,0,0,True,True,True,False,False,False,False,False
1,115996882630849069,True,2026-02-01T18:52:43.974000+00:00,2026-02-01T13:52:43.974000-05:00,1.53,"It is my Great Honor to endorse America First Patriot, John E. Sununu, who is running to represent the beautiful State of New Hampshire in the U.S. Senate. John is strongly supported by the most Highly Respected Leaders in New Hampshire, and many Republicans in the U.S. Senate and, as your next Senator, he will work tirelessly to advance our America First Agenda. John will fight hard to Grow the Economy, Cut Taxes and Regulations, Advance MADE IN THE U.S.A., Unleash American Energy DOMINANCE, Provide Access to Affordable and High Quality Health Care, Champion School Choice, Keep our Border SECURE, Stop Migrant Crime, Support our Brave Military, Veterans, and Law Enforcement, Ensure LAW AND ORDER, and Defend our always under siege Second Amendment. John E. Sununu has my Complete and Total Endorsement — HE WILL NOT LET YOU DOWN. MAKE AMERICA GREAT AGAIN — ELECT JOHN E. SUNUNU!",False,14073,3129,916,True,True,True,False,False,False,False,False
2,116001495092642291,True,2026-02-02T14:25:44.557000+00:00,2026-02-02T09:25:44.557000-05:00,0.0,"Trump Says He Welcomes China, India Investment in Venezuela Oil: https://www.bloomberg.com/news/articles/2026-02-01/trump-says-he-welcomes-china-india-investment-in-venezuela-oil/",False,11749,2522,312,True,False,False,False,True,False,False,False
3,116002095109616255,True,2026-02-02T16:58:20.088000+00:00,2026-02-02T11:58:20.088000-05:00,0.0,"It was an Honor to speak with Prime Minister Modi, of India, this morning. He is one of my greatest friends and, a Powerful and Respected Leader of his Country. We spoke about many things, including Trade, and ending the War with Russia and Ukraine. He agreed to stop buying Russian Oil, and to buy much more from the United States and, potentially, Venezuela. This will help END THE WAR in Ukraine, which is taking place right now, with thousands of people dying each and every week! Out of friendship and respect for Prime Minister Modi and, as per his request, effective immediately, we agreed to a Trade Deal between the United States and India, whereby the United States will charge a reduced Reciprocal Tariff, lowering it from 25% to 18%. They will likewise move forward to reduce their Tariffs and Non Tariff Barriers against the United States, to ZERO. The Prime Minister also committed to ""BUY AMERICAN,"" at a much higher level, in addition to over $500 BILLION DOLLARS of U.S. Energy, Technology, Agricultural, Coal, and many other products. Our amazing relationship with India will be even stronger going forward. Prime Minister Modi and I are two people that GET THINGS DONE, something that cannot be said for most. Thank you for your attention to this matter! PRESIDENT DONALD J. TRUMP",False,24709,5527,1485,True,False,False,True,False,False,False,False
4,116013105630663812,True,2026-02-04T15:38:27.342000+00:00,2026-02-04T10:38:27.342000-05:00,0.0,"I have just completed an excellent telephone conversation with President Xi, of China. It was a long and thorough call, where many important subjects were discussed, including Trade, Military, the April trip that I will be making to China (which I very much look forward to!), Taiwan, the War between Russia/Ukraine, the current situation with Iran, the purchase of Oil and Gas by China from the United States, the consideration by China of the purchase of additional Agricultural products including lifting the Soybean count to 20 Million Tons for the current season (They have committed to 25 Million Tons for next season!), Airplane engine deliveries, and numerous other subjects, all very positive! The relationship with China, and my personal relationship with President Xi, is an extremely good one, and we both realize how important it is to keep it that way. I believe that there will be many positive results achieved over the next three years of my Presidency having to do with President Xi, and the People's Republic of China! PRESIDENT DONALD J. TRUMP",False,30377,6661,4174,True,True,False,True,True,False,False,False
