source,target,weight
topic_energy_oil,topic_iran_military,162
topic_iran_military,topic_market_economy,139
topic_energy_oil,topic_market_economy,136
topic_iran_military,topic_tariff_trade,26
topic_market_economy,topic_tariff_trade,19
topic_djt_media,topic_iran_military,19
topic_energy_oil,topic_tariff_trade,12
topic_china,topic_tariff_trade,8
topic_fed_rates,topic_market_economy,7
topic_djt_media,topic_tariff_trade,7
topic_djt_media,topic_fed_rates,6
topic_fed_rates,topic_iran_military,5
topic_energy_oil,topic_fed_rates,5
topic_china,topic_iran_military,5
topic_djt_media,topic_market_economy,4
topic_fed_rates,topic_tariff_trade,3
topic_china,topic_energy_oil,3
topic_djt_media,topic_energy_oil,3
topic_china,topic_djt_media,2
topic_china,topic_market_economy,1
topic_crypto,topic_tariff_trade,1
topic_china,topic_crypto,1
