topic,topic_label,asset,signal,subset,n_events,pre_mean,pre_t,pre_p,pre_boot_p,post_mean,post_t,post_p,post_boot_p
tariff_trade,Tariffs / Trade,DJT,OFI_bvc,all,95,-0.011796,-0.9815,0.3288476912282733,0.3172,-0.023304,-1.8804,0.06314394424308714,0.0596
tariff_trade,Tariffs / Trade,VXX,OFI_bvc,all,95,-0.012219,-1.0535,0.29480822155761505,0.2852,0.046309,3.2021,0.0018619950768139256,0.0044
tariff_trade,Tariffs / Trade,SPY,OFI_bvc,all,95,0.009681,0.9495,0.3448117230193677,0.3432,-0.033564,-2.3888,0.018899856748426265,0.0216
tariff_trade,Tariffs / Trade,QQQ,OFI_bvc,all,95,-0.003263,-0.3201,0.7495840985670308,0.7428,-0.019,-1.9261,0.05711541266226666,0.0632
tariff_trade,Tariffs / Trade,XLE,OFI_bvc,all,95,0.006764,0.679,0.49883688759950884,0.4764,-0.001262,-0.1113,0.9116317162414196,0.9228
tariff_trade,Tariffs / Trade,USO,OFI_bvc,all,95,-0.01174,-1.4198,0.1589820282315426,0.162,0.005203,0.4954,0.6214659016163703,0.6004
tariff_trade,Tariffs / Trade,GLD,OFI_bvc,all,95,-0.022544,-2.0507,0.04308078474684066,0.0416,-0.014498,-1.2794,0.20390269399160832,0.2116
tariff_trade,Tariffs / Trade,UUP,OFI_bvc,all,95,0.008903,1.3961,0.16598533243576047,0.1608,0.020924,2.8996,0.004651698069049575,0.0076
tariff_trade,Tariffs / Trade,XLF,OFI_bvc,all,95,0.015925,1.7082,0.090900528452305,0.0968,-0.026606,-1.3812,0.17048194488507856,0.178
tariff_trade,Tariffs / Trade,XLK,OFI_bvc,all,95,-0.005917,-0.7107,0.4790545498959822,0.4832,-0.036564,-3.3058,0.001341972852191689,0.0028
iran_military,Iran / Military,DJT,OFI_bvc,all,284,-0.031881,-4.0936,5.5461310506341176e-05,0.0,-0.027144,-4.7103,3.880355602397572e-06,0.0
iran_military,Iran / Military,VXX,OFI_bvc,all,284,-0.013793,-1.5382,0.12510930898440634,0.116,0.02603,3.8108,0.0001699706395285257,0.0
iran_military,Iran / Military,SPY,OFI_bvc,all,284,0.032014,2.7804,0.005792874951648098,0.0072,-0.023846,-3.2851,0.00114796065907824,0.0012
iran_military,Iran / Military,QQQ,OFI_bvc,all,284,0.029548,2.4069,0.01672838715921068,0.0196,-0.017313,-3.0134,0.0028172957161090363,0.0048
iran_military,Iran / Military,XLE,OFI_bvc,all,284,0.035153,4.9897,1.057476376130135e-06,0.0,0.021602,3.0181,0.0027748351552356913,0.0044
iran_military,Iran / Military,USO,OFI_bvc,all,284,-0.012302,-1.7566,0.08005969768036363,0.0708,-0.003637,-0.7349,0.4629872108049208,0.468
iran_military,Iran / Military,GLD,OFI_bvc,all,284,0.010074,1.6758,0.0948877623736213,0.0952,-0.024546,-4.2346,3.098599534566673e-05,0.0004
