topic,topic_label,asset,signal,subset,n_events,pre_mean,pre_t,pre_p,pre_boot_p,post_mean,post_t,post_p,post_boot_p
tariff_trade,Tariffs / Trade,DJT,OFI_bvc,initiated,88,-0.007691,-0.9294,0.3552286361222725,0.3564,-0.018739,-1.6212,0.10859363178299702,0.0928
tariff_trade,Tariffs / Trade,VXX,OFI_bvc,initiated,88,-0.013959,-1.507,0.13543169823933515,0.1268,0.038028,2.6111,0.010626622511700741,0.0124
tariff_trade,Tariffs / Trade,SPY,OFI_bvc,initiated,92,0.014974,1.8746,0.06404876109975774,0.066,-0.030128,-2.1708,0.03255258557541125,0.0348
tariff_trade,Tariffs / Trade,QQQ,OFI_bvc,initiated,89,-3.7e-05,-0.0041,0.9967161943304893,0.9964,-0.023128,-2.3583,0.02057278617267144,0.0228
tariff_trade,Tariffs / Trade,XLE,OFI_bvc,initiated,92,0.009583,1.3172,0.19107473353616541,0.1928,-4.3e-05,-0.0046,0.9963694690060176,0.9876
tariff_trade,Tariffs / Trade,USO,OFI_bvc,initiated,91,-0.012256,-1.4201,0.15903067712536786,0.1428,0.005431,0.4953,0.6215786505649314,0.6108
tariff_trade,Tariffs / Trade,GLD,OFI_bvc,initiated,89,-0.027202,-3.1247,0.00241098362220595,0.0024,-0.01081,-1.0031,0.3185779957154574,0.2868
tariff_trade,Tariffs / Trade,UUP,OFI_bvc,initiated,84,0.010069,1.397,0.16614483908773425,0.1676,0.024493,3.044,0.003126740867251514,0.004
tariff_trade,Tariffs / Trade,XLF,OFI_bvc,initiated,92,0.01237,1.6599,0.10037883070445704,0.0984,-0.016396,-0.9722,0.33352556008318857,0.3232
tariff_trade,Tariffs / Trade,XLK,OFI_bvc,initiated,93,-0.006428,-0.8818,0.3801824891232033,0.3604,-0.033476,-3.1193,0.002421114664283168,0.004
iran_military,Iran / Military,DJT,OFI_bvc,initiated,258,-0.012333,-2.3672,0.018663455063533917,0.0164,-0.023024,-4.0504,6.774325807201086e-05,0.0
iran_military,Iran / Military,VXX,OFI_bvc,initiated,249,0.002452,0.4068,0.6844999446062154,0.6616,0.01771,2.5275,0.012111531139011924,0.012
iran_military,Iran / Military,SPY,OFI_bvc,initiated,241,-0.005082,-0.7065,0.48055591244062845,0.5008,-0.016781,-2.2456,0.025643261380913402,0.0244
iran_military,Iran / Military,QQQ,OFI_bvc,initiated,237,-0.006911,-0.8502,0.3960913737154066,0.3872,-0.006436,-1.3621,0.17447630047535023,0.172
iran_military,Iran / Military,XLE,OFI_bvc,initiated,270,0.033147,6.7786,7.654466887031969e-11,0.0,0.018658,2.8942,0.004113382508178393,0.0064
iran_military,Iran / Military,USO,OFI_bvc,initiated,241,-0.01075,-1.5966,0.11167348485579817,0.1028,-0.000505,-0.0965,0.9232235533066091,0.9192
iran_military,Iran / Military,GLD,OFI_bvc,initiated,238,-0.005102,-1.0558,0.2921518209073245,0.284,-0.024415,-4.0324,7.447495644144235e-05,0.0
iran_military,Iran / Military,UUP,OFI_bvc,initiated,216,0.012698,2.7269,0.006920509527088462,0.0064,0.02083,4.2633,3.015748193462885e-05,0.0
iran_military,Iran / Military,XLF,OFI_bvc,initiated,253,0.003838,0.833,0.4056075884204363,0.3968,-0.024649,-3.1269,0.001973901703730904,0.0016
iran_military,Iran / Military,XLK,OFI_bvc,initiated,240,-0.014494,-2.5729,0.010690538126493992,0.0116,-0.009669,-1.915,0.05668232908723745,0.06
energy_oil,Energy / Oil,DJT,OFI_bvc,initiated,156,-0.021199,-2.9245,0.003968573151619989,0.004,-0.031554,-4.2749,3.32928545623647e-05,0.0004
energy_oil,Energy / Oil,VXX,OFI_bvc,initiated,150,0.001379,0.1699,0.8653548578621735,0.8716,0.02457,2.9292,0.003932991266337522,0.0076
energy_oil,Energy / Oil,SPY,OFI_bvc,initiated,140,-0.00922,-0.8586,0.392032695903872,0.388,-0.023669,-2.6076,0.010112670008497637,0.0136
energy_oil,Energy / Oil,QQQ,OFI_bvc,initiated,139,-0.011332,-0.9014,0.3689557408897156,0.376,-0.014969,-2.9488,0.003748048708330385,0.0052
energy_oil,Energy / Oil,XLE,OFI_bvc,initiated,165,0.048342,7.6385,1.7301415869566296e-12,0.0,0.039972,4.7615,4.1991043491761834e-06,0.0
