topic,topic_label,asset,signal,subset,n_events,pre_mean,pre_t,pre_p,pre_boot_p,post_mean,post_t,post_p,post_boot_p
tariff_trade,Tariffs / Trade,DJT,dvol_z,initiated,88,-0.209474,-3.8999,0.0001889660133527797,0.0,0.046151,0.2998,0.765018426850393,0.71
tariff_trade,Tariffs / Trade,VXX,dvol_z,initiated,88,-0.268627,-5.1901,1.3604809430060416e-06,0.0,-0.091764,-0.7881,0.43276600648065355,0.4252
tariff_trade,Tariffs / Trade,SPY,dvol_z,initiated,92,-0.212953,-3.3305,0.0012534949696942999,0.0,0.130383,0.7868,0.4334219351271881,0.4176
tariff_trade,Tariffs / Trade,QQQ,dvol_z,initiated,89,-0.127307,-3.0129,0.0033786725019075694,0.0016,-0.104119,-2.0102,0.04747125213497548,0.0268
tariff_trade,Tariffs / Trade,XLE,dvol_z,initiated,92,-0.260072,-4.9712,3.1134065489109684e-06,0.0,0.035456,0.2398,0.8110216526498636,0.7712
tariff_trade,Tariffs / Trade,USO,dvol_z,initiated,91,-0.219438,-5.3018,8.117091438461868e-07,0.0,0.030937,0.2359,0.8140283731909599,0.776
tariff_trade,Tariffs / Trade,GLD,dvol_z,initiated,89,-0.197857,-3.6266,0.00048080879914118454,0.0,-0.113356,-1.2567,0.21219913022757617,0.2044
tariff_trade,Tariffs / Trade,UUP,dvol_z,initiated,84,-0.092619,-1.3992,0.1654847808915446,0.1556,0.158292,0.8548,0.3951348356280264,0.3688
tariff_trade,Tariffs / Trade,XLF,dvol_z,initiated,92,-0.149682,-2.2948,0.024045688892887274,0.0128,0.142656,0.8266,0.41061438381162485,0.42
tariff_trade,Tariffs / Trade,XLK,dvol_z,initiated,93,-0.240726,-3.3904,0.0010297804825071743,0.0,0.020579,0.1407,0.8884363753794076,0.8652
iran_military,Iran / Military,DJT,dvol_z,initiated,258,-0.047725,-1.1315,0.25889196279427856,0.2592,0.005008,0.0556,0.9556797901405116,0.9284
iran_military,Iran / Military,VXX,dvol_z,initiated,249,-0.177673,-4.904,1.7000403790984416e-06,0.0,-0.057812,-0.8054,0.42134444165311435,0.4044
iran_military,Iran / Military,SPY,dvol_z,initiated,241,-0.165555,-3.976,9.278952490983436e-05,0.0,0.121244,1.1769,0.24039546064146014,0.228
iran_military,Iran / Military,QQQ,dvol_z,initiated,237,-0.118625,-3.8776,0.0001368116541299551,0.0,-0.141489,-5.029,9.761293083792686e-07,0.0
iran_military,Iran / Military,XLE,dvol_z,initiated,270,0.054554,0.9389,0.34861019734444454,0.3404,-0.020365,-0.2496,0.8031177797506917,0.838
iran_military,Iran / Military,USO,dvol_z,initiated,241,-0.178165,-5.9246,1.0794357030118378e-08,0.0,0.040432,0.4818,0.6304026542147833,0.5976
iran_military,Iran / Military,GLD,dvol_z,initiated,238,-0.107628,-2.4483,0.015079483071976938,0.0068,-0.121125,-2.1043,0.03640820082094534,0.0224
iran_military,Iran / Military,UUP,dvol_z,initiated,216,-0.062391,-1.3335,0.18377777536889928,0.1868,0.352469,2.697,0.007552403945431058,0.008
iran_military,Iran / Military,XLF,dvol_z,initiated,253,-0.086267,-1.9316,0.054524469475034774,0.042,0.101833,0.9692,0.33338547266759466,0.328
iran_military,Iran / Military,XLK,dvol_z,initiated,240,-0.189378,-4.03,7.50152923281184e-05,0.0,0.002042,0.0222,0.9823226985649893,0.9416
energy_oil,Energy / Oil,DJT,dvol_z,initiated,156,0.021067,0.375,0.708147614759318,0.6924,0.070273,0.547,0.5851468469529606,0.5688
energy_oil,Energy / Oil,VXX,dvol_z,initiated,150,-0.167967,-3.7342,0.0002674231010978767,0.0,-0.020245,-0.2056,0.8373750284012026,0.8972
energy_oil,Energy / Oil,SPY,dvol_z,initiated,140,-0.160001,-3.1202,0.0021981065116226323,0.0012,0.258243,1.7217,0.08735323644585849,0.096
energy_oil,Energy / Oil,QQQ,dvol_z,initiated,139,-0.091116,-3.0715,0.0025664456835712878,0.0008,-0.064604,-1.7817,0.07699706505241366,0.0812
energy_oil,Energy / Oil,XLE,dvol_z,initiated,165,0.210041,2.524,0.012552316295027304,0.0112,0.03901,0.3443,0.7310883937437342,0.7124
energy_oil,Energy / Oil,USO,dvol_z,initiated,147,-0.208094,-7.6905,1.9937773756185777e-12,0.0,0.054378,0.471,0.6383369759461371,0.6076
