topic,topic_label,asset,signal,subset,n_events,pre_mean,pre_t,pre_p,pre_boot_p,post_mean,post_t,post_p,post_boot_p
tariff_trade,Tariffs / Trade,DJT,logret,all,95,-0.000162,-2.0584,0.04231688401255853,0.0368,-0.000765,-3.0332,0.0031278985393028117,0.008
tariff_trade,Tariffs / Trade,DJT,vol_z,all,95,-0.134863,-2.2176,0.02898943007263683,0.0152,0.095055,0.6206,0.5363878298805425,0.5272
tariff_trade,Tariffs / Trade,DJT,dvol_z,all,95,-0.138055,-2.2969,0.023845521516270382,0.0096,0.071929,0.4999,0.6182969223352136,0.5724
tariff_trade,Tariffs / Trade,DJT,signed_vol_tick,all,95,-10581.347368,-1.5345,0.12825920281070885,0.1416,-64062.778947,-2.5229,0.013318854953619853,0.0228
tariff_trade,Tariffs / Trade,DJT,OFI_bvc,all,95,-0.011796,-0.9815,0.3288476912282733,0.3172,-0.023304,-1.8804,0.06314394424308714,0.0596
tariff_trade,Tariffs / Trade,DJT,vpin_50,all,95,0.556759,30.4878,1.54523072702394e-47,0.0,0.586223,29.1694,4.787365091976973e-46,0.0
tariff_trade,Tariffs / Trade,DJT,vpin_z,all,95,-0.069268,-0.5063,0.6139477727036493,0.6136,0.155872,1.0001,0.3200789418561202,0.2972
tariff_trade,Tariffs / Trade,DJT,kyle_lambda_100,all,95,4e-06,36.779,1.342194461315989e-57,0.0,4e-06,26.6328,2.662954833448252e-45,0.0
tariff_trade,Tariffs / Trade,DJT,dollar_volume,all,95,119284.26337,5.6451,1.7421595695715427e-07,0.0,207750.983096,3.6316,0.0004585617484896655,0.002
tariff_trade,Tariffs / Trade,DJT,logret,initiated,88,-0.000138,-2.3101,0.023248756130032786,0.0236,-0.000795,-2.9505,0.004075530666835854,0.0064
tariff_trade,Tariffs / Trade,DJT,vol_z,initiated,88,-0.208427,-3.8771,0.0002046969935358844,0.0,0.069198,0.4221,0.6739996537872313,0.6444
tariff_trade,Tariffs / Trade,DJT,dvol_z,initiated,88,-0.209474,-3.8999,0.0001889660133527797,0.0,0.046151,0.2998,0.765018426850393,0.71
tariff_trade,Tariffs / Trade,DJT,signed_vol_tick,initiated,88,-3657.340909,-0.7773,0.43910839178826355,0.4292,-66918.556818,-2.4542,0.016114455954414804,0.022
