topic,topic_label,asset,signal,subset,n_events,pre_mean,pre_t,pre_p,pre_boot_p,post_mean,post_t,post_p,post_boot_p
tariff_trade,Tariffs / Trade,DJT,vpin_z,initiated,88,-0.088698,-0.6077,0.5451783585526075,0.5412,0.159519,0.9457,0.34722501426704955,0.3376
tariff_trade,Tariffs / Trade,VXX,vpin_z,initiated,88,-0.323666,-2.562,0.012333364501188762,0.008,-0.337466,-2.4264,0.01752916391480483,0.0116
tariff_trade,Tariffs / Trade,SPY,vpin_z,initiated,92,-0.277063,-2.4101,0.01830311678781747,0.014,-0.047787,-0.3503,0.7270400981142442,0.7624
tariff_trade,Tariffs / Trade,QQQ,vpin_z,initiated,89,-0.329656,-2.6395,0.010046059742595495,0.0084,-0.198378,-1.5319,0.1295378816803561,0.1312
tariff_trade,Tariffs / Trade,XLE,vpin_z,initiated,92,-0.1195,-1.0183,0.31169139402955115,0.286,-0.023135,-0.1496,0.881414161790448,0.8792
tariff_trade,Tariffs / Trade,USO,vpin_z,initiated,91,-0.098204,-0.6939,0.48980775795864295,0.4928,-0.294057,-1.6815,0.096472985917516,0.0948
tariff_trade,Tariffs / Trade,GLD,vpin_z,initiated,89,-0.40241,-3.3566,0.0012344857530957514,0.0004,-0.316949,-1.9479,0.055029790418014604,0.0468
tariff_trade,Tariffs / Trade,UUP,vpin_z,initiated,84,-0.132919,-1.0393,0.3017112857853969,0.2892,0.01987,0.1148,0.9088737662686406,0.9052
tariff_trade,Tariffs / Trade,XLF,vpin_z,initiated,92,-0.292255,-3.1445,0.002344419165319161,0.002,-0.336056,-2.7316,0.007715335070649862,0.0036
tariff_trade,Tariffs / Trade,XLK,vpin_z,initiated,93,-0.435825,-4.5025,2.2873137742693136e-05,0.0,-0.211417,-1.5273,0.13054622347015013,0.1224
iran_military,Iran / Military,DJT,vpin_z,initiated,258,0.144144,1.8026,0.07270570270157478,0.072,0.362618,3.6792,0.00028913719177069326,0.0
iran_military,Iran / Military,VXX,vpin_z,initiated,249,-0.02651,-0.3379,0.7357463470311472,0.752,0.012295,0.1373,0.8909227063300178,0.8808
iran_military,Iran / Military,SPY,vpin_z,initiated,241,-0.200518,-2.9298,0.003749062617353054,0.0036,-0.088662,-1.0993,0.27283312962402223,0.2716
iran_military,Iran / Military,QQQ,vpin_z,initiated,237,-0.162982,-2.1583,0.032009357679557066,0.0224,-0.079856,-0.9793,0.3285092425932741,0.3432
iran_military,Iran / Military,XLE,vpin_z,initiated,270,-0.512209,-7.7491,2.43011795337342e-13,0.0,-0.569492,-6.4675,5.231650771380724e-10,0.0
iran_military,Iran / Military,USO,vpin_z,initiated,241,0.143506,1.9123,0.0571500572739309,0.0532,-0.04575,-0.4101,0.6821324985547161,0.6684
iran_military,Iran / Military,GLD,vpin_z,initiated,238,-0.495145,-7.6017,8.256406133719227e-13,0.0,-0.635553,-6.7907,1.0077448100337999e-10,0.0
iran_military,Iran / Military,UUP,vpin_z,initiated,216,0.282882,4.2963,2.6355536166541128e-05,0.0,0.506408,4.8438,2.4556425545958282e-06,0.0
iran_military,Iran / Military,XLF,vpin_z,initiated,253,-0.408791,-6.9416,3.8485304902448514e-11,0.0,-0.436919,-6.2187,2.2844154041441232e-09,0.0
iran_military,Iran / Military,XLK,vpin_z,initiated,240,-0.500121,-7.5833,9.606534942508342e-13,0.0,-0.48616,-6.7352,1.409151260477344e-10,0.0
energy_oil,Energy / Oil,DJT,vpin_z,initiated,156,0.091384,1.032,0.3037316434607668,0.298,0.214138,2.048,0.04226484481856976,0.0408
energy_oil,Energy / Oil,VXX,vpin_z,initiated,150,-0.05445,-0.5684,0.5706653330058198,0.5764,-0.020486,-0.2011,0.8409074038826015,0.8176
energy_oil,Energy / Oil,SPY,vpin_z,initiated,140,-0.254588,-3.4515,0.000744740266606452,0.0008,-0.12008,-1.3055,0.19393857921540014,0.2016
energy_oil,Energy / Oil,QQQ,vpin_z,initiated,139,-0.132744,-1.3747,0.1715171616567697,0.1704,-0.107965,-1.1008,0.2729626642265304,0.256
energy_oil,Energy / Oil,XLE,vpin_z,initiated,165,-0.593745,-8.2436,5.719437251475583e-14,0.0,-0.734014,-7.7623,9.10707463566751e-13,0.0
energy_oil,Energy / Oil,USO,vpin_z,initiated,147,0.379853,5.0249,1.4814163982692064e-06,0.0,0.30995,2.8791,0.004597285945932306,0.0028
energy_oil,Energy / Oil,GLD,vpin_z,initiated,137,-0.500318,-7.6975,2.7962340413771034e-12,0.0,-0.531193,-5.9939,1.8129105533461886e-08,0.0
energy_oil,Energy / Oil,UUP,vpin_z,initiated,134,0.46002,5.8507,3.6101953297112956e-08,0.0,0.695783,5.2096,7.031525463525633e-07,0.0
energy_oil,Energy / Oil,XLF,vpin_z,initiated,158,-0.458379,-6.5283,9.254718311589812e-10,0.0,-0.423818,-5.162,7.437883187511793e-07,0.0
energy_oil,Energy / Oil,XLK,vpin_z,initiated,141,-0.555681,-7.6159,3.9752340700709775e-12,0.0,-0.570981,-7.2258,3.1545134498827526e-11,0.0
market_economy,Markets / Economy,DJT,vpin_z,initiated,164,0.019843,0.2207,0.8256376316132985,0.8164,0.093985,0.9372,0.35009378598765273,0.3288
market_economy,Markets / Economy,VXX,vpin_z,initiated,155,-0.076156,-0.8181,0.4145883280178593,0.4004,-0.054403,-0.5757,0.5656492960920222,0.5712
market_economy,Markets / Economy,SPY,vpin_z,initiated,144,-0.182603,-2.282,0.024005989258020426,0.0196,-0.061796,-0.6698,0.5040950713006876,0.4656
market_economy,Markets / Economy,QQQ,vpin_z,initiated,143,-0.144896,-1.504,0.13485432645242038,0.1308,-0.069098,-0.7287,0.46739043544811376,0.4504
market_economy,Markets / Economy,XLE,vpin_z,initiated,175,-0.485182,-6.6886,3.1155647681199344e-10,0.0,-0.661776,-7.9325,2.744708352781717e-13,0.0
market_economy,Markets / Economy,USO,vpin_z,initiated,154,0.330134,3.5847,0.0004557011514817649,0.0,0.236105,2.123,0.035391197612569106,0.0348
market_economy,Markets / Economy,GLD,vpin_z,initiated,149,-0.525013,-6.5402,9.996244837167911e-10,0.0,-0.48953,-5.3658,3.1463467514700455e-07,0.0
market_economy,Markets / Economy,UUP,vpin_z,initiated,143,0.386876,4.5869,9.79106008604846e-06,0.0,0.57745,4.3357,2.7364670612129732e-05,0.0004
market_economy,Markets / Economy,XLF,vpin_z,initiated,159,-0.474873,-7.1365,3.4578752027102e-11,0.0,-0.423751,-5.2282,5.459944642389698e-07,0.0
market_economy,Markets / Economy,XLK,vpin_z,initiated,147,-0.54974,-8.4046,4.060214384580029e-14,0.0,-0.596953,-9.179,4.685670403265503e-16,0.0
djt_media,DJT / Media,DJT,vpin_z,initiated,76,-0.034615,-0.1785,0.8590199585741798,0.8588,0.523768,2.3475,0.022523880032965425,0.0196
djt_media,DJT / Media,VXX,vpin_z,initiated,83,-0.067569,-0.3985,0.6917765614338798,0.7124,0.00042,0.0017,0.9986234790665357,0.9776
djt_media,DJT / Media,SPY,vpin_z,initiated,78,-0.120733,-0.5856,0.5606520942066272,0.5444,0.13623,0.6643,0.50916641825382,0.514
djt_media,DJT / Media,QQQ,vpin_z,initiated,79,-0.246551,-1.3376,0.18683791039106573,0.1652,-0.019973,-0.11,0.9127899822225701,0.8996
djt_media,DJT / Media,XLE,vpin_z,initiated,78,0.066242,0.3357,0.7384919118170193,0.7304,0.23343,0.9399,0.35137089334447213,0.3452
djt_media,DJT / Media,USO,vpin_z,initiated,80,-0.031924,-0.186,0.8531223405214439,0.8512,-0.4439,-1.5565,0.1251151779147027,0.1184
djt_media,DJT / Media,GLD,vpin_z,initiated,79,-0.211558,-1.376,0.17449052034268378,0.1616,-0.070231,-0.3061,0.7606401093249398,0.7764
djt_media,DJT / Media,UUP,vpin_z,initiated,62,-0.267554,-2.328,0.023302580550050595,0.0096,0.18106,0.7761,0.44074149231484405,0.4184
djt_media,DJT / Media,XLF,vpin_z,initiated,76,-0.214645,-1.2631,0.21229900822073,0.202,0.043708,0.1261,0.900115291939437,0.8432
djt_media,DJT / Media,XLK,vpin_z,initiated,80,-0.204268,-1.5984,0.11579871126063253,0.0996,0.212722,1.1195,0.2674512306067054,0.28
