burst_id,ts_first_utc,ts_first_et,date_et,duration_min,n_posts,pnl_total,sample_text
1,2026-02-01T18:51:11.880000+00:00,2026-02-01T13:51:11.880000-05:00,2026-02-01,1.53,7,-24909924.64,"RT @realDonaldTrumpI am hearing that Bluffton City Councilman Blake Fiechter, a True America First Patriot, is considering a primary challenge against ""RINO"" S…"
2,2026-02-02T14:25:44.557000+00:00,2026-02-02T09:25:44.557000-05:00,2026-02-02,0.0,1,-3558560.66,"Trump Says He Welcomes China, India Investment in Venezuela Oil: https://www.bloomberg.com/news/articles/2026-02-01/trump-says-he-welcomes-china-india-investme…"
3,2026-02-02T16:58:20.088000+00:00,2026-02-02T11:58:20.088000-05:00,2026-02-02,0.0,1,-3558560.66,"It was an Honor to speak with Prime Minister Modi, of India, this morning. He is one of my greatest friends and, a Powerful and Respected Leader of his Country…"
4,2026-02-04T15:38:27.342000+00:00,2026-02-04T10:38:27.342000-05:00,2026-02-04,0.0,1,44825.98,"I have just completed an excellent telephone conversation with President Xi, of China. It was a long and thorough call, where many important subjects were disc…"
5,2026-02-10T23:50:33.622000+00:00,2026-02-10T18:50:33.622000-05:00,2026-02-10,4.19,7,0.0,"Congressman Aaron Bean is a Tremendous Champion for Florida's 4th Congressional District! As a Member of the POWERFUL Ways & Means Committee, Aaron knows the A…"
6,2026-02-17T01:01:35.883000+00:00,2026-02-16T20:01:35.883000-05:00,2026-02-16,1.64,4,0.0,"Jon Bonck is an incredible Candidate running to represent the fantastic people of Texas' 38th Congressional District. He is supported by many MAGA Patriots, in…"
7,2026-02-17T02:08:23.823000+00:00,2026-02-16T21:08:23.823000-05:00,2026-02-16,4.25,19,0.0,Congressman Nathaniel Moran is doing a fantastic job representing the Great People of Texas' 1st Congressional District! Nathaniel has an incredible Record of…
8,2026-02-17T15:03:59.984000+00:00,2026-02-17T10:03:59.984000-05:00,2026-02-17,0.0,1,1597362.73,"RT @realDonaldTrumpIt is my Great Honor to endorse America First Patriot, Clay Fuller, who is running to represent the wonderful people of Georgia's 14th Congr…"
9,2026-02-19T01:26:34.705000+00:00,2026-02-18T20:26:34.705000-05:00,2026-02-18,0.0,1,0.0,It is my Great Honor to nominate Justin Smith to serve as Judge on the United States Court of Appeals for the Eighth Circuit in Missouri. Justin is a very Smar…
10,2026-03-03T22:04:29.988000+00:00,2026-03-03T17:04:29.988000-05:00,2026-03-03,0.0,1,0.0,"It is my Great Honor to endorse Aaron Flint, who is running to represent the tremendous people of Montana's 1st Congressional District. Aaron is a MAGA Warrior…"
11,2026-03-10T00:30:40.041000+00:00,2026-03-09T20:30:40.041000-04:00,2026-03-09,0.0,1,0.0,"If Iran does anything that stops the flow of Oil within the Strait of Hormuz, they will be hit by the United States of America TWENTY TIMES HARDER than they ha…"
12,2026-03-21T16:52:28.021000+00:00,2026-03-21T12:52:28.021000-04:00,2026-03-21,0.0,1,0.0,"Highly Respected America First Congresswoman, Julia Letlow, of the wonderful State of Louisiana, is a Great Star, has been from the very beginning, and only ge…"
13,2026-03-23T14:29:33.266000+00:00,2026-03-23T10:29:33.266000-04:00,2026-03-23,0.0,1,-31925405.59,"RT @realDonaldTrumpI AM PLEASED TO REPORT THAT THE UNITED STATES OF AMERICA, AND THE COUNTRY OF IRAN, HAVE HAD, OVER THE LAST TWO DAYS, VERY GOOD AND PRODUCTIV…"
14,2026-03-24T19:45:10.326000+00:00,2026-03-24T15:45:10.326000-04:00,2026-03-24,12.8,7,9273343.81,"Bluffton City Councilman Blake Fiechter, a True America First Patriot, is running against ""RINO"" State Senator Travis Holdman, in Indiana's 19th Senate Distric…"
15,2026-04-07T20:13:09.030000+00:00,2026-04-07T16:13:09.030000-04:00,2026-04-07,13.96,28,212918723.61,"State Representative Jim Pressel is a Tremendous Champion for the incredible people of Indiana's 20th State House District! A successful Businessman, Jim knows…"
