burst_id,real_anchor,shifted_anchor,real_anchored_next_session,shifted_anchored_next_session,real_max_abs_pct,shifted_max_abs_pct
1,2026-02-02T18:45:00+00:00,2026-02-03T18:45:00+00:00,True,False,0.7488,1.465
2,2026-02-02T18:45:00+00:00,2026-02-03T18:45:00+00:00,True,False,0.7488,1.465
3,2026-02-02T18:45:00+00:00,2026-02-03T18:45:00+00:00,True,False,0.7488,1.465
4,2026-02-04T15:35:00+00:00,2026-02-05T15:35:00+00:00,False,False,3.5859,1.5035
5,2026-02-10T23:50:00+00:00,2026-02-11T23:50:00+00:00,False,False,0.744,0.2932
6,2026-02-17T09:00:00+00:00,2026-02-18T09:00:00+00:00,True,False,1.5531,1.9334
7,2026-02-17T09:00:00+00:00,2026-02-18T09:00:00+00:00,True,False,1.5531,1.9334
8,2026-02-17T15:00:00+00:00,2026-02-18T15:00:00+00:00,False,False,1.865,1.3178
9,2026-02-19T09:00:00+00:00,2026-02-20T09:00:00+00:00,True,False,0.6706,0.5461
10,2026-03-03T22:00:00+00:00,2026-03-04T22:00:00+00:00,False,False,3.7131,1.712
11,2026-03-10T08:00:00+00:00,2026-03-11T08:00:00+00:00,True,False,3.2335,3.7476
12,2026-03-23T08:00:00+00:00,2026-03-24T08:00:00+00:00,True,False,2.5661,1.9625
13,2026-03-23T14:25:00+00:00,2026-03-24T14:25:00+00:00,False,False,4.0734,1.6188
14,2026-03-24T19:45:00+00:00,2026-03-25T19:45:00+00:00,False,False,3.9558,1.2328
15,2026-04-07T20:10:00+00:00,2026-04-08T20:10:00+00:00,False,False,12.3621,2.0907
