burst_id,anchor_ts,minute_offset,cum_pct_abs,cum_pct_signed,series
1,2026-02-02T18:45:00+00:00,0,0.0,0.0,real
1,2026-02-02T18:45:00+00:00,5,0.3075,-0.3075,real
1,2026-02-02T18:45:00+00:00,10,0.1471,-0.1471,real
1,2026-02-02T18:45:00+00:00,15,0.2246,-0.2246,real
1,2026-02-02T18:45:00+00:00,20,0.2942,-0.2942,real
1,2026-02-02T18:45:00+00:00,25,0.2006,-0.2006,real
1,2026-02-02T18:45:00+00:00,30,0.0669,-0.0669,real
1,2026-02-02T18:45:00+00:00,35,0.2674,0.2674,real
1,2026-02-02T18:45:00+00:00,40,0.5883,0.5883,real
1,2026-02-02T18:45:00+00:00,45,0.361,0.361,real
1,2026-02-02T18:45:00+00:00,50,0.2407,0.2407,real
1,2026-02-02T18:45:00+00:00,55,0.2139,0.2139,real
1,2026-02-02T18:45:00+00:00,60,0.2273,0.2273,real
1,2026-02-02T18:45:00+00:00,65,0.2942,0.2942,real
1,2026-02-02T18:45:00+00:00,70,0.361,0.361,real
1,2026-02-02T18:45:00+00:00,75,0.488,0.488,real
1,2026-02-02T18:45:00+00:00,80,0.6017,0.6017,real
1,2026-02-02T18:45:00+00:00,85,0.595,0.595,real
1,2026-02-02T18:45:00+00:00,90,0.6017,0.6017,real
1,2026-02-02T18:45:00+00:00,95,0.4145,0.4145,real
1,2026-02-02T18:45:00+00:00,100,0.5482,0.5482,real
1,2026-02-02T18:45:00+00:00,105,0.6141,0.6141,real
1,2026-02-02T18:45:00+00:00,110,0.5883,0.5883,real
1,2026-02-02T18:45:00+00:00,115,0.5883,0.5883,real
1,2026-02-02T18:45:00+00:00,120,0.6284,0.6284,real
1,2026-02-02T18:45:00+00:00,125,0.6685,0.6685,real
1,2026-02-02T18:45:00+00:00,130,0.722,0.722,real
1,2026-02-02T18:45:00+00:00,135,0.7086,0.7086,real
1,2026-02-02T18:45:00+00:00,140,0.5764,0.5764,real
1,2026-02-02T18:45:00+00:00,145,0.6284,0.6284,real
1,2026-02-02T18:45:00+00:00,150,0.5752,0.5752,real
1,2026-02-02T18:45:00+00:00,155,0.6685,0.6685,real
1,2026-02-02T18:45:00+00:00,160,0.6953,0.6953,real
1,2026-02-02T18:45:00+00:00,165,0.6151,0.6151,real
1,2026-02-02T18:45:00+00:00,170,0.5883,0.5883,real
1,2026-02-02T18:45:00+00:00,175,0.6084,0.6084,real
1,2026-02-02T18:45:00+00:00,180,0.7488,0.7488,real
2,2026-02-02T18:45:00+00:00,0,0.0,0.0,real
2,2026-02-02T18:45:00+00:00,5,0.3075,-0.3075,real
2,2026-02-02T18:45:00+00:00,10,0.1471,-0.1471,real
2,2026-02-02T18:45:00+00:00,15,0.2246,-0.2246,real
2,2026-02-02T18:45:00+00:00,20,0.2942,-0.2942,real
2,2026-02-02T18:45:00+00:00,25,0.2006,-0.2006,real
2,2026-02-02T18:45:00+00:00,30,0.0669,-0.0669,real
2,2026-02-02T18:45:00+00:00,35,0.2674,0.2674,real
2,2026-02-02T18:45:00+00:00,40,0.5883,0.5883,real
2,2026-02-02T18:45:00+00:00,45,0.361,0.361,real
2,2026-02-02T18:45:00+00:00,50,0.2407,0.2407,real
2,2026-02-02T18:45:00+00:00,55,0.2139,0.2139,real
2,2026-02-02T18:45:00+00:00,60,0.2273,0.2273,real
2,2026-02-02T18:45:00+00:00,65,0.2942,0.2942,real
2,2026-02-02T18:45:00+00:00,70,0.361,0.361,real
2,2026-02-02T18:45:00+00:00,75,0.488,0.488,real
2,2026-02-02T18:45:00+00:00,80,0.6017,0.6017,real
2,2026-02-02T18:45:00+00:00,85,0.595,0.595,real
2,2026-02-02T18:45:00+00:00,90,0.6017,0.6017,real
2,2026-02-02T18:45:00+00:00,95,0.4145,0.4145,real
2,2026-02-02T18:45:00+00:00,100,0.5482,0.5482,real
2,2026-02-02T18:45:00+00:00,105,0.6141,0.6141,real
2,2026-02-02T18:45:00+00:00,110,0.5883,0.5883,real
2,2026-02-02T18:45:00+00:00,115,0.5883,0.5883,real
2,2026-02-02T18:45:00+00:00,120,0.6284,0.6284,real
2,2026-02-02T18:45:00+00:00,125,0.6685,0.6685,real
2,2026-02-02T18:45:00+00:00,130,0.722,0.722,real
2,2026-02-02T18:45:00+00:00,135,0.7086,0.7086,real
2,2026-02-02T18:45:00+00:00,140,0.5764,0.5764,real
2,2026-02-02T18:45:00+00:00,145,0.6284,0.6284,real
2,2026-02-02T18:45:00+00:00,150,0.5752,0.5752,real
2,2026-02-02T18:45:00+00:00,155,0.6685,0.6685,real
2,2026-02-02T18:45:00+00:00,160,0.6953,0.6953,real
