minute_offset,real_median,real_p25,real_p75,real_n,shifted_median,shifted_p25,shifted_p75,shifted_n,gap_median
-180,0.9331,0.4684,1.5785,7,0.8669,0.484,1.4044,10,0.0662
-175,0.6639,0.3983,1.4057,7,0.8512,0.5101,1.3624,10,-0.1873
-170,1.1521,0.5384,1.6094,7,0.8335,0.7325,1.1368,10,0.3186
-165,1.4062,0.5944,1.8558,7,0.8163,0.8044,0.9268,10,0.5899
-160,1.6559,0.6314,1.8959,7,0.7063,0.4804,1.1299,10,0.9496
-155,1.7479,0.4816,2.1316,7,0.6082,0.5714,0.8428,10,1.1397
-150,1.45,0.3983,2.1166,7,0.6156,0.6148,1.2413,10,0.8344
-145,1.7731,0.9783,2.3747,7,0.484,0.428,1.1689,10,1.2891
-140,1.7993,0.8096,2.8742,7,0.5615,0.484,1.0726,10,1.2378
-135,1.668,0.801,2.7253,7,0.4848,0.4578,1.1681,10,1.1832
-130,1.5366,0.7102,2.3174,7,0.5036,0.4042,1.2092,10,1.033
-125,1.3887,0.7746,2.0656,7,0.7456,0.4742,1.2989,10,0.6431
-120,1.4578,0.67,1.9718,7,0.6933,0.538,1.0898,10,0.7645
-115,1.247,0.6172,1.9807,7,0.8371,0.6483,0.8839,10,0.4099
-110,1.2486,0.1487,1.9994,7,0.7042,0.4518,0.8241,10,0.5444
-105,0.4425,0.1986,1.464,7,0.8895,0.819,0.8895,9,-0.447
-100,0.9339,0.6544,1.5516,6,0.893,0.6781,0.9156,10,0.0409
-95,0.6878,0.1767,1.5934,7,0.5095,0.4186,0.8148,10,0.1783
-90,0.3023,0.1884,1.3826,7,0.6525,0.2224,0.8207,9,-0.3502
-85,0.7316,0.3244,1.1377,7,0.3571,0.3401,0.7008,10,0.3745
-80,1.2561,0.7491,1.6642,5,0.56,0.1177,0.6585,9,0.6961
-75,1.2607,0.835,1.4999,5,0.2932,0.1635,0.6269,9,0.9675
-70,0.744,0.5388,1.6313,5,0.454,0.0131,0.7216,8,0.29
-65,0.3614,0.2895,0.9864,6,0.3538,0.242,0.6781,9,0.0076
-60,0.4112,0.3055,0.8696,6,0.3646,0.1962,0.5011,9,0.0466
-55,0.486,0.2131,0.7002,6,0.1769,0.0916,0.4699,10,0.3091
-50,0.4042,0.2194,0.4834,7,0.161,0.0916,0.5479,10,0.2432
-45,0.2719,0.1269,0.4909,6,0.0881,0.0719,0.579,9,0.1838
-40,0.4442,0.1868,0.752,6,0.3793,0.1891,0.3793,9,0.0649
-35,0.3062,0.142,0.439,6,0.1831,0.1831,0.2818,9,0.1231
-30,0.3678,0.1072,0.3956,7,0.192,0.1831,0.2912,10,0.1758
-25,0.4064,0.1676,0.4412,6,0.2707,0.1498,0.3139,10,0.1357
-20,0.1851,0.1365,0.3553,7,0.484,0.195,0.484,9,-0.2989
-15,0.1182,0.0591,0.3571,7,0.2566,0.1526,0.3008,10,-0.1384
-10,0.2546,0.197,0.5412,7,0.14,0.0131,0.2943,9,0.1146
-5,0.1813,0.0589,0.2556,7,0.1177,0.0851,0.1292,10,0.0636
0,0.0,0.0,0.0,15,0.0,0.0,0.0,15,0.0
5,0.1614,0.1308,0.3075,15,0.0751,0.0263,0.1059,14,0.0863
10,0.1655,0.0955,0.2426,14,0.1024,0.0658,0.1846,14,0.0631
15,0.3664,0.2246,0.4751,14,0.1184,0.0963,0.273,14,0.248
20,0.2942,0.1862,0.4927,14,0.1728,0.0563,0.3532,14,0.1214
25,0.2112,0.191,0.3608,14,0.2093,0.1159,0.4315,14,0.0019
30,0.2039,0.0669,0.597,14,0.099,0.0523,0.3683,14,0.1049
35,0.366,0.2385,1.0766,14,0.0785,0.0658,0.2633,14,0.2875
40,0.5883,0.267,1.0844,14,0.0754,0.0278,0.2161,14,0.5129
45,0.5034,0.187,1.0747,14,0.1256,0.1132,0.3121,14,0.3778
50,0.4406,0.2407,1.2199,14,0.2684,0.1532,0.3532,14,0.1722
55,0.3968,0.216,1.2901,14,0.3924,0.1823,0.4692,14,0.0044
60,0.5526,0.3208,1.4158,14,0.2673,0.1937,0.4778,14,0.2853
65,0.5612,0.3192,1.5359,14,0.2544,0.1707,0.3964,14,0.3068
