source,target,weight
iran,president,63
president,trump,61
donald,president,60
donald,trump,59
iran,trump,57
donald,iran,49
states,united,37
president,states,35
president,united,35
military,president,34
iran,military,31
states,trump,31
donald,states,30
iran,states,30
iran,united,30
trump,united,30
donald,united,29
america,president,27
donald,military,26
military,trump,26
america,states,25
america,united,25
america,iran,24
country,president,22
hormuz,strait,22
president,world,22
america,donald,21
america,trump,21
iran,world,21
iran,middle,20
president,strait,20
america,military,19
donald,world,19
east,iran,19
east,middle,19
east,trump,19
hormuz,president,19
iran,now,19
middle,trump,19
military,states,19
military,united,19
now,president,19
trump,world,19
country,iran,18
country,military,18
country,trump,18
donald,east,18
donald,middle,18
donald,strait,18
east,president,18
iran,strait,18
middle,president,18
now,trump,18
strait,trump,18
america,country,17
country,donald,17
donald,hormuz,17
donald,now,17
hormuz,iran,17
hormuz,trump,17
iran,nuclear,16
iran,regime,16
oil,president,16
oil,trump,16
country,states,15
djt,president,15
about,president,14
about,trump,14
country,united,14
deal,president,14
donald,oil,14
hormuz,united,14
nuclear,president,14
nuclear,trump,14
strait,united,14
about,donald,13
deal,iran,13
deal,trump,13
djt,iran,13
hormuz,states,13
military,world,13
oil,united,13
regime,trump,13
states,strait,13
again,america,12
again,president,12
america,far,12
america,hormuz,12
america,strait,12
attack,iran,12
donald,nuclear,12
east,states,12
east,united,12
far,iran,12
far,president,12
hormuz,military,12
iran's,trump,12
middle,states,12
middle,united,12
military,strait,12
oil,states,12
president,regime,12
states,world,12
united,world,12
about,country,11
again,donald,11
again,iran,11
again,trump,11
america,oil,11
attack,donald,11
attack,president,11
attack,trump,11
donald,else,11
donald,far,11
donald,regime,11
else,president,11
far,trump,11
iran,left,11
iran,oil,11
iran,war,11
left,president,11
regime,states,11
regime,united,11
trump,war,11
about,states,10
about,united,10
america,american,10
america,east,10
america,left,10
america,middle,10
america,now,10
america,world,10
american,military,10
american,now,10
country,left,10
deal,donald,10
east,military,10
else,iran,10
else,states,10
else,trump,10
else,united,10
far,states,10
far,united,10
iran's,president,10
left,military,10
middle,military,10
military,now,10
military,nuclear,10
now,states,10
now,united,10
nuclear,world,10
president,war,10
states,war,10
united,war,10
about,america,9
about,iran,9
again,states,9
again,united,9
america,attack,9
america,else,9
attack,states,9
attack,united,9
country,east,9
country,far,9
country,middle,9
donald,iran's,9
donald,war,9
else,military,9
far,military,9
hormuz,oil,9
iran,only,9
iran's,regime,9
left,trump,9
military,regime,9
now,world,9
nuclear,states,9
nuclear,united,9
oil,strait,9
only,president,9
regime,world,9
about,military,8
again,country,8
america,regime,8
american,country,8
american,president,8
attack,country,8
attack,far,8
attack,military,8
country,now,8
country,world,8
deal,states,8
deal,united,8
djt,military,8
donald,only,8
east,world,8
else,world,8
iran,iran's,8
iran's,states,8
iran's,united,8
middle,world,8
military,oil,8
military,war,8
oil,world,8
only,trump,8
about,attack,7
again,far,7
again,now,7
america,iran's,7
attack,east,7
attack,middle,7
attack,nuclear,7
country,nuclear,7
country,war,7
donald,left,7
east,far,7
east,nuclear,7
else,nuclear,7
far,middle,7
far,nuclear,7
far,regime,7
far,world,7
hormuz,world,7
iran's,military,7
middle,nuclear,7
military,only,7
nuclear,regime,7
strait,world,7
about,left,6
about,nuclear,6
about,oil,6
again,attack,6
again,military,6
america,djt,6
america,nuclear,6
america,only,6
america,war,6
american,donald,6
american,iran,6
american,oil,6
attack,left,6
attack,only,6
attack,regime,6
country,else,6
country,oil,6
country,only,6
country,regime,6
djt,united,6
east,else,6
east,hormuz,6
east,iran's,6
east,regime,6
east,strait,6
else,hormuz,6
else,iran's,6
else,middle,6
else,regime,6
else,strait,6
far,hormuz,6
far,left,6
far,oil,6
far,strait,6
hormuz,iran's,6
hormuz,middle,6
hormuz,nuclear,6
hormuz,regime,6
iran's,middle,6
iran's,nuclear,6
iran's,strait,6
iran's,world,6
middle,regime,6
middle,strait,6
now,oil,6
now,only,6
nuclear,oil,6
nuclear,strait,6
regime,strait,6
about,again,5
about,east,5
about,else,5
about,far,5
about,middle,5
about,now,5
about,regime,5
about,world,5
again,american,5
again,deal,5
again,left,5
american,left,5
american,only,5
american,states,5
american,trump,5
american,united,5
attack,now,5
attack,world,5
country,deal,5
country,djt,5
deal,military,5
djt,states,5
east,now,5
far,iran's,5
left,now,5
left,regime,5
left,states,5
left,united,5
middle,now,5
now,nuclear,5
now,regime,5
only,states,5
only,united,5
only,world,5
about,hormuz,4
about,only,4
about,strait,4
about,war,4
again,only,4
again,world,4
america,deal,4
american,far,4
american,world,4
attack,else,4
attack,hormuz,4
attack,iran's,4
attack,strait,4
country,iran's,4
deal,now,4
deal,nuclear,4
deal,oil,4
deal,war,4
deal,world,4
djt,left,4
east,oil,4
else,far,4
else,now,4
else,oil,4
far,now,4
left,world,4
middle,oil,4
now,war,4
nuclear,only,4
oil,regime,4
about,american,3
about,deal,3
about,iran's,3
again,east,3
again,middle,3
again,nuclear,3
again,regime,3
again,war,3
american,attack,3
american,deal,3
attack,deal,3
attack,oil,3
country,hormuz,3
country,strait,3
deal,djt,3
east,left,3
east,only,3
else,left,3
far,only,3
hormuz,left,3
iran's,left,3
iran's,oil,3
left,middle,3
left,nuclear,3
left,oil,3
left,only,3
left,strait,3
middle,only,3
oil,only,3
war,world,3
