topic,asset,signal,window,mean,p,n,p_fdr,p_fdr_trim
tariff_trade,DJT,logret,pre,-0.0001378512619027659,0.0236,88,0.03675409836065574,0.05057142857142857
tariff_trade,DJT,logret,post,-0.0007948460816059317,0.0064,88,0.011294117647058824,0.017838630806845966
tariff_trade,DJT,vol_z,pre,-0.20842717621747056,0.0002046969935358844,88,0.00047818559965350047,0.0010650940901064062
tariff_trade,DJT,vol_z,post,0.06919837171150887,0.6444,88,0.6925983658076681,0.7195063663075416
tariff_trade,DJT,dvol_z,pre,-0.20947367738728823,0.0001889660133527797,88,0.0004420408793888554,0.000988170895514536
tariff_trade,DJT,dvol_z,post,0.046151301768503995,0.71,88,0.7535880893300249,0.7772130518234165
tariff_trade,DJT,signed_vol_tick,pre,-3657.340909090909,0.4292,88,0.488311377245509,0.5244244372990354
tariff_trade,DJT,signed_vol_tick,post,-66918.55681818182,0.022,88,0.034545454545454546,0.04795411089866156
tariff_trade,DJT,OFI_bvc,pre,-0.007691020832079279,0.3564,88,0.4210683229813665,0.4627440273037543
tariff_trade,DJT,OFI_bvc,post,-0.01873907191659725,0.0928,88,0.13039276910435496,0.1635115919629057
tariff_trade,DJT,vpin_z,pre,-0.08869780814704925,0.5412,88,0.5959124275595621,0.6271156186612576
tariff_trade,DJT,vpin_z,post,0.15951875601226173,0.3376,88,0.4022968641114983,0.44492947976878616
tariff_trade,VXX,logret,pre,-0.00016998411890590116,0.0668,88,0.09623251895534962,0.12342301458670989
tariff_trade,VXX,logret,post,0.0003033239601122976,0.384,88,0.4463902107409925,0.4858601553829079
tariff_trade,VXX,vol_z,pre,-0.2672420894807646,1.8863298127724343e-06,88,5.152753961407128e-06,1.6168541252335152e-05
tariff_trade,VXX,vol_z,post,-0.07513951332390408,0.5788,88,0.6300114576702737,0.6589700598802395
tariff_trade,VXX,dvol_z,pre,-0.26862654062012853,1.3604809430060416e-06,88,3.7583560784173365e-06,1.2212191141943996e-05
tariff_trade,VXX,dvol_z,post,-0.09176420250603536,0.4252,88,0.4850513675783856,0.5217032258064516
tariff_trade,VXX,signed_vol_tick,pre,-43060.51136363636,0.0864,88,0.1224059652029826,0.1546248037676609
tariff_trade,VXX,signed_vol_tick,post,-93030.68181818182,0.2772,88,0.3402814070351759,0.3839708383961118
tariff_trade,VXX,OFI_bvc,pre,-0.013958745775397826,0.1268,88,0.17235930047694753,0.21010465116279067
