source,target,weight
states,united,37
iran,military,31
iran,states,30
iran,united,30
america,states,25
america,united,25
america,iran,24
hormuz,strait,22
iran,world,21
iran,middle,20
america,military,19
east,iran,19
east,middle,19
military,states,19
military,united,19
country,iran,18
country,military,18
iran,strait,18
america,country,17
hormuz,iran,17
iran,nuclear,16
iran,regime,16
country,states,15
country,united,14
hormuz,united,14
strait,united,14
deal,iran,13
hormuz,states,13
military,world,13
oil,united,13
states,strait,13
america,hormuz,12
america,strait,12
attack,iran,12
east,states,12
east,united,12
hormuz,military,12
middle,states,12
middle,united,12
military,strait,12
oil,states,12
states,world,12
united,world,12
america,oil,11
force,iran,11
iran,oil,11
iran,war,11
regime,states,11
regime,united,11
america,american,10
america,east,10
america,middle,10
america,world,10
american,military,10
east,military,10
force,states,10
force,united,10
iran,israel,10
middle,military,10
military,nuclear,10
nuclear,world,10
open,strait,10
states,war,10
united,war,10
america,attack,9
america,times,9
attack,states,9
attack,united,9
countries,iran,9
country,east,9
country,middle,9
history,iran,9
hormuz,oil,9
hormuz,open,9
iran,powerful,9
military,regime,9
nuclear,states,9
nuclear,united,9
oil,strait,9
regime,world,9
america,energy,8
america,regime,8
american,country,8
american,energy,8
attack,country,8
attack,military,8
country,world,8
deal,states,8
deal,united,8
east,world,8
iran,open,8
middle,world,8
military,oil,8
military,powerful,8
military,war,8
oil,world,8
powerful,world,8
america,complete,7
america,history,7
attack,east,7
attack,middle,7
attack,nuclear,7
better,iran,7
complete,energy,7
complete,military,7
countries,united,7
country,nuclear,7
country,powerful,7
country,war,7
east,israel,7
east,nuclear,7
energy,military,7
force,military,7
force,nuclear,7
force,regime,7
history,world,7
hormuz,world,7
israel,middle,7
middle,nuclear,7
nuclear,regime,7
powerful,states,7
powerful,united,7
states,times,7
strait,world,7
times,united,7
america,force,6
america,nuclear,6
america,place,6
america,war,6
american,iran,6
american,oil,6
attack,regime,6
countries,east,6
countries,middle,6
countries,states,6
country,energy,6
country,history,6
country,israel,6
country,oil,6
country,regime,6
country,venezuela,6
east,force,6
east,hormuz,6
east,regime,6
east,strait,6
energy,oil,6
energy,states,6
energy,united,6
force,middle,6
force,world,6
history,military,6
history,oil,6
hormuz,middle,6
hormuz,nuclear,6
hormuz,regime,6
israel,military,6
middle,regime,6
middle,strait,6
military,place,6
nuclear,oil,6
nuclear,powerful,6
nuclear,strait,6
powerful,regime,6
regime,strait,6
america,open,5
american,complete,5
american,history,5
american,place,5
american,states,5
american,times,5
american,united,5
attack,force,5
attack,powerful,5
attack,world,5
complete,country,5
complete,iran,5
countries,hormuz,5
countries,military,5
countries,strait,5
country,deal,5
country,force,5
country,place,5
country,times,5
deal,military,5
energy,place,5
energy,times,5
force,hormuz,5
force,powerful,5
force,strait,5
history,regime,5
history,states,5
history,united,5
iran,place,5
iran,times,5
america,better,4
america,countries,4
america,deal,4
america,israel,4
america,powerful,4
america,venezuela,4
american,world,4
attack,complete,4
attack,hormuz,4
attack,israel,4
attack,strait,4
better,military,4
complete,east,4
complete,middle,4
complete,place,4
complete,states,4
complete,times,4
complete,united,4
deal,nuclear,4
deal,oil,4
deal,powerful,4
deal,war,4
deal,world,4
east,history,4
east,oil,4
east,powerful,4
history,middle,4
history,nuclear,4
israel,place,4
israel,states,4
israel,united,4
middle,oil,4
middle,powerful,4
military,open,4
military,times,4
oil,powerful,4
oil,regime,4
oil,times,4
oil,venezuela,4
open,states,4
open,united,4
place,states,4
place,times,4
place,united,4
states,venezuela,4
american,attack,3
american,better,3
american,deal,3
american,venezuela,3
attack,countries,3
attack,deal,3
attack,history,3
attack,oil,3
attack,place,3
attack,venezuela,3
better,place,3
better,states,3
better,united,3
complete,oil,3
countries,force,3
countries,israel,3
countries,oil,3
countries,regime,3
countries,world,3
country,hormuz,3
country,strait,3
deal,energy,3
deal,open,3
deal,times,3
deal,venezuela,3
energy,history,3
energy,venezuela,3
energy,war,3
force,history,3
force,oil,3
force,times,3
history,hormuz,3
history,powerful,3
history,strait,3
hormuz,powerful,3
israel,times,3
military,venezuela,3
nuclear,place,3
oil,open,3
oil,place,3
place,venezuela,3
powerful,strait,3
powerful,war,3
united,venezuela,3
war,world,3
