,iran,military,states,united,america,world,country,oil,strait,hormuz,middle,east,regime,deal,nuclear,war,american,attack,force,history,israel,countries,energy,open,place,powerful,times,venezuela,better,complete
iran,91,31,30,30,24,21,18,11,18,17,20,19,16,13,16,11,6,12,11,9,10,9,0,8,5,9,5,0,7,5
military,31,39,19,19,19,13,18,8,12,12,10,10,9,5,10,8,10,8,7,6,6,5,7,4,6,8,4,3,4,7
states,30,19,38,37,25,12,15,12,13,13,12,12,11,8,9,10,5,9,10,5,4,6,6,4,4,7,7,4,3,4
united,30,19,37,38,25,12,14,13,14,14,12,12,11,8,9,10,5,9,10,5,4,7,6,4,4,7,7,3,3,4
america,24,19,25,25,34,10,17,11,12,12,10,10,8,4,6,6,10,9,6,7,4,4,8,5,6,4,9,4,4,7
world,21,13,12,12,10,26,8,8,7,7,8,8,9,4,10,3,4,5,6,7,0,3,0,0,0,8,0,0,0,0
country,18,18,15,14,17,8,25,6,3,3,9,9,6,5,7,7,8,8,5,6,6,0,6,0,5,7,5,6,0,5
oil,11,8,12,13,11,8,6,23,9,9,4,4,4,4,6,0,6,3,3,6,0,3,6,3,3,4,4,4,0,3
strait,18,12,13,14,12,7,3,9,23,22,6,6,6,0,6,0,0,4,5,3,0,5,0,10,0,3,0,0,0,0
hormuz,17,12,13,14,12,7,3,9,22,22,6,6,6,0,6,0,0,4,5,3,0,5,0,9,0,3,0,0,0,0
middle,20,10,12,12,10,8,9,4,6,6,20,19,6,0,7,0,0,7,6,4,7,6,0,0,0,4,0,0,0,4
east,19,10,12,12,10,8,9,4,6,6,19,19,6,0,7,0,0,7,6,4,7,6,0,0,0,4,0,0,0,4
regime,16,9,11,11,8,9,6,4,6,6,6,6,18,0,7,0,0,6,7,5,0,3,0,0,0,6,0,0,0,0
deal,13,5,8,8,4,4,5,4,0,0,0,0,0,17,4,4,3,3,0,0,0,0,3,3,0,4,3,3,0,0
nuclear,16,10,9,9,6,10,7,6,6,6,7,7,7,4,17,0,0,7,7,4,0,0,0,0,3,6,0,0,0,0
war,11,8,10,10,6,3,7,0,0,0,0,0,0,4,0,15,0,0,0,0,0,0,3,0,0,3,0,0,0,0
american,6,10,5,5,10,4,8,6,0,0,0,0,0,3,0,0,14,3,0,5,0,0,8,0,5,0,5,3,3,5
attack,12,8,9,9,9,5,8,3,4,4,7,7,6,3,7,0,3,14,5,3,4,3,0,0,3,5,0,3,0,4
force,11,7,10,10,6,6,5,3,5,5,6,6,7,0,7,0,0,5,12,3,0,3,0,0,0,5,3,0,0,0
history,9,6,5,5,7,7,6,6,3,3,4,4,5,0,4,0,5,3,3,12,0,0,3,0,0,3,0,0,0,0
israel,10,6,4,4,4,0,6,0,0,0,7,7,0,0,0,0,0,4,0,0,12,3,0,0,4,0,3,0,0,0
countries,9,5,6,7,4,3,0,3,5,5,6,6,3,0,0,0,0,3,3,0,3,11,0,0,0,0,0,0,0,0
energy,0,7,6,6,8,0,6,6,0,0,0,0,0,3,0,3,8,0,0,3,0,0,11,0,5,0,5,3,0,7
open,8,4,4,4,5,0,0,3,10,9,0,0,0,3,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
place,5,6,4,4,6,0,5,3,0,0,0,0,0,0,3,0,5,3,0,0,4,0,5,0,11,0,4,3,3,4
powerful,9,8,7,7,4,8,7,4,3,3,4,4,6,4,6,3,0,5,5,3,0,0,0,0,0,11,0,0,0,0
times,5,4,7,7,9,0,5,4,0,0,0,0,0,3,0,0,5,0,3,0,3,0,5,0,4,0,11,0,0,4
venezuela,0,3,4,3,4,0,6,4,0,0,0,0,0,3,0,0,3,3,0,0,0,0,3,0,3,0,0,11,0,0
better,7,4,3,3,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,10,0
complete,5,7,4,4,7,0,5,3,0,0,4,4,0,0,0,0,5,4,0,0,0,0,7,0,4,0,4,0,0,10
